date	title	cat1	cat2	url	post_text
January 25, 2023	Real Madrid men’s and women’s teams engage fans with Instagram Reels	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/real-madrid-reels-success-story	
January 13, 2023	From transitions to trends: How creator Marta Sierra reached 1 billion Reels plays | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/how-creator-marta-sierra-reached-1b-reels-plays	
December 27, 2022	Reels inspiration and in-stream ads: Laura Mejía's tips for creativity and unlocking revenue | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/laura-mejia-reels-strategy	
December 21, 2022	Oracle Red Bull Racing: A championship-winning season told through Instagram Reels	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/red-bull-reels-success-story	
December 16, 2022	Facebook and Instagram safety guide for Creators | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/facebook-and-instagram-safety-guide-for-creators	
December 13, 2022	Holiday sales and beyond: How creator Christian Hull generates hype for his merch | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/christian-hull-sales-strategy	
December 7, 2022	Expanding opportunities for creators to earn money on Facebook | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/earn-money-on-facebook	
December 1, 2022	‘What do you do for a living?’: How curiosity propelled Daniel Mac into full time content creation | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/daniel-mac-reels-strategy	
November 23, 2022	Terms and Conditions Meta - SembraMedia | Meta Journalism Project	ANNOUNCEMENTS		https://www.facebook.com/formedia/sembramedia-terms-and-conditions	
November 22, 2022	Creator Week 2022: Join us on Instagram and Facebook	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/2022-creator-week	
November 16, 2022	Create your core voice and tell a story: tips, tricks and holiday inspo from We The Culture creators | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/reels-advice-holiday-inspo-we-the-culture-creators	
November 15, 2022	Live Creator Camp: create, grow and earn with Live video | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/live-creator-camp	
November 9, 2022	Fan Engagement 101: Best practices to connect and engage with your audience | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/best-practices-for-engaging-with-fans	
November 9, 2022	These reels helped LGBTQIA+ allies show support during Pride Month | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/WalkWithPride2022-pride-month-reels	
November 7, 2022	News from Creator Week Part 4: São Paulo – new tools to help creators connect with their community and build their business | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/2022-launching-new-creator-tools-in-LATAM	
November 7, 2022	Inspiring the aspiring: Creators share their successes with professional mode for Facebook profiles | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/professional-mode-success-stories	
November 4, 2022	News from Creator Week Part 3: London - new tools to help creators connect with their community and build their business | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/2022-launching-new-creator-tools-in-emea	
November 3, 2022	How Mister Emerson grew from zero to over 600k followers with Facebook Reels | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/mister-emerson-reels-strategy	
November 2, 2022	News from Creator Week Part 2: Los Angeles - New tools to help creators connect with their community and build their business | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/2022-launching-new-creator-tools	
October 31, 2022	Announcing the global expansion of professional mode | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/expanding-professional-mode-for-profiles	
October 31, 2022	Creator Week 2022: Introducing the Creators of Tomorrow | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/introducing-meta-creators-of-tomorrow	
October 31, 2022	News from Creator Week Part 1: Indonesia - new tools to help creators connect with their community and build their business | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/2022-launching-new-creator-tools-in-APAC	
October 28, 2022	57M+ Reels plays: How Karmalogy delivers big laughs to his community | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/karmalogy-reels-success	
October 21, 2022	Impulso Local's new edition offers training and funding for Argentine media	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/fopea-academy	
October 21, 2022	How Facebook Reels connected creator Bia Napolitano with a new audience and supercharged her career | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/bia-facebook-reels-success-story	
October 20, 2022	A creator’s guide to growth: Avoiding violations and staying safe | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/avoiding-violations-and-staying-safe-on-facebook	
October 20, 2022	Digital transformation is delivering new readers and revenue for these New Zealand publishers | Meta Journalism Project	PROGRAM IMPACT		https://www.facebook.com/formedia/aotearoa-audience-development-accelerator	
October 17, 2022	Branded Content on Facebook Reels: a new way to partner with brands | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/brandedcontentonfbreels	
October 7, 2022	Meta, ARIJ and ICFJ announce new initiatives to support the news industry in the Middle East and North Africa	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/MENANews2022H2Update	
October 5, 2022	A creator's guide to growth: best practices for growing your Facebook presence | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/best-practices-for-growing-your-facebook-presence	
October 5, 2022	‘Ads on Facebook Reels’: the official tool for including ads in your reel. | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/overlay-ads-for-facebook-reels	
October 5, 2022	Music Revenue Sharing is globally available: giving Facebook creators a new way to earn money | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/music-revenue-sharing	
October 3, 2022	European news publishers build big business through Meta Accelerators	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/european-publishers-accelerator-program	
September 30, 2022	Reuters and Meta Journalism Project expand e-learning course for Brazilian journalists | Meta Journalism Project	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/reuters-journalism-course-brazil	
September 29, 2022	Four ways journalists can enhance digital safety ahead of elections | Meta Journalism Project	BEST PRACTICES		https://www.facebook.com/formedia/blog/journalist-safety-elections	
September 29, 2022	It's election season: best practices to help you safely engage with your community | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/elections-safety	
September 28, 2022	Impulso Local's new edition offers training and funding for Argentine media	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/adepa-impulso-2023	
September 28, 2022	beIN Sports USA leverages Facebook Reels to grow their audience and reach young adults	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/beINSports	
September 22, 2022	The power of earning: how Abud Sadek built his business on Facebook | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/abud-s-video-monetization-success-story	
September 20, 2022	A creator’s guide to growth: how to get your content seen on Facebook | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/how-to-get-your-content-seen-on-facebook	
September 20, 2022	Announcing Dale Tú, Instagram’s Latinx and Hispanic Creator Program | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/announcing-dale-tu	
September 18, 2022	Meta signs commercial innovation deals with New Zealand publishers | Meta Journalism Project	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/meta-announces-new-zealand-commercial-innovation-deals	
September 15, 2022	How Jomboy Media, a Facebook page with less than one million followers, consistently drives six-figure revenue | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/jomboy-media	
September 14, 2022	Terms and Conditions Meta - Adepa | Meta Journalism Project	ANNOUNCEMENTS		https://www.facebook.com/formedia/adepa-terms-and-conditions	
September 6, 2022	Applications open for year 2 of AU$15M Meta Australian News Fund | Meta Journalism Project	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/meta-announces-year-2-meta-australian-news-fund-applications-open	
September 5, 2022	160M+ Reels plays: How Taylor R used trending audio to connect with other moms | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/taylor-r-reels-success-story	
August 31, 2022	Understanding Video Distribution on Facebook	BEST PRACTICES		https://www.facebook.com/formedia/blog/understanding-video-distribution-on-facebook	
August 24, 2022	Reels help Thai creator Nanake diversify his content strategy | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/nanake-naked-daily-reels-success	
August 23, 2022	How MONO29 shifted to a Reels-first social strategy	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/MONO29-Reels-social-strategy	
August 19, 2022	Hop on trends and lead with emotion: More Reels advice from We The Culture creators | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/even-more-reels-advice-we-the-culture-creators	
August 17, 2022	The science behind the art: How Devon Rodriguez’s reels go viral on Facebook and Instagram | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/devon-rodriguez-reels-success-story	
August 17, 2022	Introducing Stars on Reels, a new way to earn money on Facebook Reels | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/stars-on-reels	
August 13, 2022	Consistency, authenticity and experimentation: Reels advice from global creators | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/apac-creators-reels-tips-tricks	
August 11, 2022	These creators celebrated their KKBOX Music Awards 風雲榜 in the metaverse	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/KKBOX-Music-Awards-Rising-Star-metaverse	
August 5, 2022	How Xiaowu woos a global audience and boosts revenue on Facebook	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/xiaowu-media	
August 3, 2022	New format, new laughs: OzzyMan on the role of Reels for comedians | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/ozzy-man-reviews-reels	
August 1, 2022	An AR filter turned Ramadan sensation: Indonesian superstars Raffi Ahmad and Nagita Slavina reach millions on Reels | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/raffi-ahmad-nagita-slavina-ar-ramadan-game	
July 26, 2022	Don’t sleep on audio, and more Reels advice from We The Culture creators | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/more-reels-advice-we-the-culture-creators	
July 25, 2022	Accelerating the Digital Transformation Program announces the new selected projects in Brazil | Meta Journalism Project	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/fighting-misinformation-program-brazil	
July 21, 2022	93M Reels Plays in 6 months: Why Nicholas Crown tests everything, all the time | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/nicholas-crown-reels-success-story	
July 19, 2022	“Do not equate numbers with success,” and more advice from social media guru Candace Marie | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/candace-marie-black-creator-day	
July 19, 2022	7 Tips & tricks for creators, from creators, on working with brands | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/creators-brand-deals-partnerships-advice	
July 19, 2022	Advice from nonprofits to creators who want to mobilize their communities | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/changemaker-summit-nonprofit-advice-for-creators	
July 15, 2022	Bright colors, fun and peeks behind-the-scenes: Kelli Erdmann is all-in on Reels | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/kelli-erdmann-reels-success-story	
July 12, 2022	13 newsrooms were selected for the LíderShift program in Latin America | Meta Journalism Project	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/lidershift-program-latam	
July 7, 2022	Reels gold at SEA Games 2022! | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/reels-gold-at-sea-games-2022	
June 27, 2022	Meet the 2022 HBCU Summer News Fellows | Meta Journalism Project	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/meet-the-2022-hbcu-summer-news-fellows	
June 27, 2022	What creators and athletes can learn from snowboarder Scotty James — who used Instagram Reels to grow 45% in 12 months	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/scottyjames	
June 22, 2022	Captivate your audience, and more Reels advice from We The Culture creators | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/reels-advice-we-the-culture-creators	
June 22, 2022	Helping creators build a business now — and for the metaverse | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/expanding-ways-creators-earn-money-on-facebook-and-instagram	
June 17, 2022	Reels Best Practices: Tips & tricks to succeed on Reels	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/reels-best-practices-tips-tricks	
June 14, 2022	How Dr. Jen Caudle, Hillary Klug and Lipstickfables Build Fan Awareness and Create Buzz with Stars | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/blog/stars-best-practices	
June 2, 2022	Easily bring your ideas to life with new Reels creative tools | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/new-reels-features-for-facebook-and-instagram	
June 2, 2022	Rodrigo Garduño Digitizes his 54D Fitness Program Through Instagram Live	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/Rodrigo-Garduno	
June 1, 2022	From viral videos to Facebook Shop: Chef Simone Zanoni’s recipe for community- and business-building | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/chef-simone-zanoni-community-business-building	
May 25, 2022	Video creators Woody and Kleiny gained 2.2M followers by evolving their content	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/woody-and-klieny-grow-2.2M-followers	
May 20, 2022	Lisa Morales Duke Shifts to a Video-First Approach to Build Her Fitness Community	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/Lisa-Morales-Duke	
May 19, 2022	Meta Journalism Project and Oxford's Saïd Business School bring News Marketing Program to different regions across the world	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/news-marketing-program-asia-latam-middle-east-north-africa	
May 18, 2022	Accelerator Alums Convene for Meta Global Retention Program	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/meta-global-retention-accelerator-2022	
May 17, 2022	Digital projects are helping transform these rural Australian newsrooms	PROGRAM IMPACT		https://www.facebook.com/formedia/blog/country-press-australia-regional-newsroom-sustainability-and-digital-transformation-fund	
May 17, 2022	4 regional Australian newsrooms invest in sustainable journalism	PROGRAM IMPACT		https://www.facebook.com/formedia/blog/sustainable-newsroom-innovations-Facebook-Australian-News-Fund	
May 16, 2022	Love Sweat Fitness Builds Brand and Community Through Social Innovation	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/love-sweat-fitness	
May 13, 2022	Meta and FOPEA consolidate four programs for the professionalization of Argentine journalists in the digital environment	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/programas-fope-2022-argentina	
May 12, 2022	Dr. Kojo Sarfo’s secret sauce for community-building: consistency, caring and Reels | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/dr-kojo-sarfo-facebook-reels-live-mental-health	
May 12, 2022	Creating 10 Placements for Afghan Journalists in Canadian Newsrooms	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/afghan-journalist-canadian-newsroom-residence	
May 9, 2022	Reels Star Search: “Be unique and have fun with it” | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/reels-star-search-kheris-sarah-stacey	
May 4, 2022	Reels updates: Rewards for original content, expanded monetization opportunities and new insights	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/reels-content-monetization-updates	
May 4, 2022	Pac-12 Leverages Short-Form Video and Athlete Star Power to Build a Branded Content Business	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/Pac12	
May 2, 2022	How Overtime Used Reels to Launch Limited-Edition Collectibles	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/OvertimeElite	
April 28, 2022	Meta and ANP launch transformation program for newsrooms in Chile	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/programa-redacciones-en-cambio-chile	
April 27, 2022	Adepa, Meta, and ICFJ announce a new edition of the “Evolución” program	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/adepa-evolucion-2022	
April 22, 2022	Facebook Fundamentals for News launches in the Philippines	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/meta-announces-Facebook-Fundamentals-Philippines	
April 21, 2022	Watch: Safety tips to help your Meta community thrive | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/safety-school-video-series	
April 19, 2022	Meta and IFCN Announce Grant Program to Combat Climate Related Misinformation	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/climate-misinformation-grant	
April 14, 2022	Daymond John celebrates black business through Facebook-exclusive Black Entrepreneurs Day event | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/daymond-john-black-entrepreneurs-day	
April 13, 2022	Valuable lessons from the FOPEA training program in Argentina	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/valuable-lessons-from-fopea-training-program-argentina	
April 12, 2022	Bleacher Report and House of Highlights Grow Business Through Short-Form Content Investment Across Facebook and Instagram	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/turner-sports	
April 11, 2022	Club Tigres leverages players’ fandom to create a successful Paid Online Event*	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/club-tigres-combines-best-practices-to-create-successful-paid-online-event	
April 11, 2022	106 Publishers Awarded Meta Country Press Australia Newsroom Fund	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/meta-announces-recipients-of-country-press-australia-news-fund	
April 7, 2022	X Games Leverages Collabs and Reels on Instagram to Drive Increased Viewership	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/xgamesreels	
April 7, 2022	WhatsApp, IFCN announce grant program to fight misinformation | Meta Journalism Project	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/ifcn+whatsapp_integrity_fund	
April 6, 2022	An Asian perspective of diversity, equity and inclusion (DEI) in the news industry	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/AAJA-Asia-Advancing-News-Diversity-In-Asia	
April 5, 2022	Meta Launches Global Mentorship Program to Help Fact-Checkers Fight Misinformation	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/global-mentorship-program-fight-misinformation	
April 1, 2022	Meta’s Investments in Fact-Checking	PROGRAM IMPACT		https://www.facebook.com/formedia/blog/third-party-fact-checking-industry-investments	
March 31, 2022	FC Bayern Develops an “Entertainment-First” Reels Strategy to Engage Prospective Fans	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/BayernReels	
March 31, 2022	Meta and Abraji announce the 80 journalists selected for the mentoring and grant support phase of the Accelerating Digital Transformation Program.	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/abraji-program-grant-selected-journalists	
March 29, 2022	Learn how Bondi Rescue grew followers, engagement and revenue	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/bondi-rescue-video-strategy	
March 29, 2022	Broadcast Giants Telemundo and TelevisaUnivision Launch Fact-Checking Services on WhatsApp | Meta Journalism Project	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/telemundo-televisaunivision-whatsapp-fact-check-program	
March 28, 2022	15 Publishers Join the Meta Spain Audience Development Accelerator Challenge	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/Accelerator-Challenge-Spain-2022	
March 28, 2022	1,000+ Bangladeshi journalists trained in Facebook fundamentals	PROGRAM IMPACT		https://www.facebook.com/formedia/blog/Facebook-Fundamentals-Bangladesh-BigSpring-CIR-CCAB	
March 25, 2022	Drive Reach Without Watchbait	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/drive-reach-without-watchbait	
March 25, 2022	Latin America newsrooms can apply to the Digital Video Masterclass series	ANNOUNCEMENTS	JOURNALISM	https://www.facebook.com/journalismproject/video-master-class-latam	
March 22, 2022	15 digital initiatives selected for the mentoring and grant phase of the Accelerating Digital Transformation program in partnership with Ajor	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/ajor-mentoring-grant-program	
March 22, 2022	This Month in Reels: hair love, humor and dance inspo | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/this-month-in-reels-march	
March 21, 2022	Reels Star Search: Remix, Collabs and celebrating your individuality	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/reels-star-search-jene-josh-boys-world	
March 17, 2022	Reuters and Meta expand e-Learning Course for Journalists	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/reuters-digital-journalism-course	
March 10, 2022	Creators drive engagement on Facebook with live video	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/engagement-on-facebook-with-live-video	
March 7, 2022	The Month in Review for February 2022	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/the-month-in-review-february	
March 4, 2022	Meta and ICFJ launch free Digital Security course for journalists and human rights defenders | Meta Journalism Project	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/meta-announces-digital-security-course	
March 1, 2022	54 Publishers and Independent Journalists Receive Grants From AU$15 Million Facebook Australian News Fund	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/meta-announces-recipients-of-australia-news-fund	
February 18, 2022	25 Newsrooms in Brazil join The Accelerating Digital Transformation Program mentorship and grant phase.	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/aner-anj-mentoring-grant-program	
February 15, 2022	Newsrooms in Latin America can apply to News Product Design Sprint Latam | Meta Journalism Project	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/news-product-design-sprint-latam	
February 14, 2022	First scaled video masterclass series launches with 12 newsrooms from Indonesia and the Philippines	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/first-scaled-video-masterclass-series-launches-with-newsrooms-from-indonesia-and-the-philippines	
February 14, 2022	Meta and ICFJ launch Journalism Ethics Training in the Middle East and North Africa	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/Journalism-Ethics-In-MENA	
February 10, 2022	6 Creator Studio tools that help optimize Facebook video	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/6-tools-you-should-know-video	
February 8, 2022	The Month in Review for January 2022	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/the-month-in-review-january	
February 1, 2022	Apply to the Spain Audience Development Accelerator Challenge | Meta Journalism Project	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/spain-audience-development-2022	
February 1, 2022	13 Publishers Join the Meta Aotearoa Audience Development Accelerator	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/new-zealand-challenge-2022-participants	
January 28, 2022	How Literally Media Grew Their Business with In-Stream Ads and Instant Articles	BEST PRACTICES		https://www.facebook.com/formedia/blog/literally-media-video-success	
January 19, 2022	Introducing Instagram Subscriptions: Helping creators earn recurring monthly income | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/instagram-subscriptions	
January 13, 2022	Safety Tips for Journalists	BEST PRACTICES		https://www.facebook.com/formedia/blog/safety-tips-for-journalists	
January 11, 2022	How HYBE Reaches Young Adults Worldwide	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/hybe-bts-seventeen-txt	
